hp,Synchronous Speed (RPM),Poles,Nominal Efficiency ,Eff Type,NEMA Table,Motor Type,Hz,Voltage Limit,Catalog,,,,
1,900,8,74,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
1,900,8,74,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
1,3600,2,75.5,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
1,900,8,75.5,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,1,2
1,900,8,75.5,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,4
1,3600,2,77,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,6
1,3600,2,77,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,8
1,1000,6,78.9,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
1,1000,6,78.9,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
1,1200,6,80,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
1,1200,6,80,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
1,3000,2,80.7,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
1,3000,2,80.7,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
1,1800,4,82.5,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
1,1800,4,82.5,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
1,1200,6,82.5,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
1,1200,6,82.5,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
1,1500,4,82.5,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
1,1500,4,82.5,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
1,1800,4,85.5,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
1,1800,4,85.5,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
1.5,900,8,75.5,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
1.5,900,8,77,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
1.5,900,8,77,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
1.5,900,8,78.5,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
1.5,1000,6,81.1,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
1.5,1000,6,81.1,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
1.5,3600,2,82.5,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
1.5,3600,2,82.5,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
1.5,3000,2,82.8,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
1.5,3000,2,82.8,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
1.5,1800,4,84,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
1.5,1200,6,84,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
1.5,1800,4,84,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
1.5,3600,2,84,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
1.5,3600,2,84,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
1.5,1500,4,84.2,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
1.5,1500,4,84.2,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
1.5,1200,6,85.5,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
1.5,1800,4,86.5,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
1.5,1200,6,86.5,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
1.5,1200,6,87.5,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
2,900,8,82.5,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
2,1000,6,82.5,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
2,1000,6,82.5,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
2,3600,2,84,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
2,1800,4,84,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
2,3600,2,84,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
2,1800,4,84,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
2,900,8,84,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
2,3000,2,84.2,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
2,3000,2,84.2,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
2,1500,4,85.3,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
2,1500,4,85.3,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
2,1200,6,85.5,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
2,900,8,85.5,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
2,3600,2,85.5,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
2,3600,2,85.5,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
2,1200,6,86.5,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
2,1800,4,86.5,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
2,900,8,86.5,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
2,1800,4,86.5,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
2,1200,6,87.5,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
2,1200,6,88.5,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
3,3600,2,84,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
3,900,8,84,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
3,1000,6,84.4,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
3,1000,6,84.4,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
3,3600,2,85.5,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
3,3600,2,85.5,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
3,900,8,85.5,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
3,3000,2,85.9,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
3,3000,2,85.9,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
3,1800,4,86.5,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
3,1200,6,86.5,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
3,900,8,86.5,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
3,3600,2,86.5,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
3,1800,4,86.5,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
3,1500,4,86.7,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
3,1500,4,86.7,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
3,1800,4,87.5,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
3,1200,6,87.5,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
3,900,8,87.5,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
3,1200,6,88.5,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
3,1800,4,89.5,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
3,1200,6,89.5,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
5,3600,2,85.5,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
5,900,8,85.5,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
5,3600,2,86.5,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
5,900,8,86.5,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
5,1000,6,86.5,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
5,1000,6,86.5,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
5,1800,4,87.5,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
5,1200,6,87.5,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
5,900,8,87.5,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
5,3600,2,87.5,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
5,1800,4,87.5,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
5,1200,6,87.5,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
5,3000,2,87.9,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
5,3000,2,87.9,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
5,1500,4,88.4,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
5,1500,4,88.4,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
5,900,8,88.5,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
5,3600,2,88.5,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
5,1800,4,89.5,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
5,1200,6,89.5,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
5,1800,4,89.5,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
5,1200,6,89.5,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
7.5,900,8,85.5,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
7.5,900,8,86.5,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
7.5,3600,2,87.5,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
7.5,1000,6,88,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
7.5,1000,6,88,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
7.5,1800,4,88.5,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
7.5,1200,6,88.5,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
7.5,900,8,88.5,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
7.5,3600,2,88.5,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
7.5,3600,2,88.5,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
7.5,3000,2,89.2,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
7.5,3000,2,89.2,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
7.5,1800,4,89.5,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
7.5,1200,6,89.5,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
7.5,900,8,89.5,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
7.5,3600,2,89.5,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
7.5,1500,4,89.6,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
7.5,1500,4,89.6,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
7.5,1200,6,90.2,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
7.5,1800,4,91,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
7.5,1200,6,91,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
7.5,1800,4,91.7,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
10,3600,2,88.5,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
10,900,8,88.5,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
10,1000,6,89,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
10,1000,6,89,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
10,1800,4,89.5,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
10,900,8,89.5,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
10,3600,2,89.5,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
10,1800,4,89.5,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
10,1200,6,89.5,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
10,3600,2,89.5,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
10,900,8,89.5,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
10,3000,2,90.1,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
10,3000,2,90.1,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
10,1200,6,90.2,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
10,900,8,90.2,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
10,3600,2,90.2,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
10,1500,4,90.4,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
10,1500,4,90.4,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
10,1200,6,91,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
10,1800,4,91.7,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
10,1200,6,91.7,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
10,1800,4,91.7,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
15,900,8,88.5,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
15,3600,2,89.5,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
15,900,8,89.5,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
15,900,8,89.5,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
15,1200,6,90.2,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
15,3600,2,90.2,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
15,1200,6,90.2,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
15,3600,2,90.2,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
15,900,8,90.2,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
15,1000,6,90.3,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
15,1000,6,90.3,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
15,1800,4,91,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
15,1800,4,91,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
15,3600,2,91,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
15,3000,2,91.2,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
15,3000,2,91.2,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
15,1500,4,91.5,Premium Efficiency,Table 12-14,TEFC,50,600,NEMA MG - 1-2018,,,,
15,1500,4,91.5,Premium Efficiency,Table 12-14,ODP,50,600,NEMA MG - 1-2018,,,,
15,1200,6,91.7,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
15,1200,6,91.7,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
15,1800,4,92.4,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
15,1800,4,93,Premium Efficiency,Table 12-12,ODP,60,600,NEMA MG - 1-2018,,,,
20,900,8,89.5,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
20,3600,2,90.2,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
20,900,8,90.2,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
20,3600,2,90.2,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
20,1200,6,90.2,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
20,900,8,90.2,Premium Efficiency,Table 12-12,TEFC,60,600,NEMA MG - 1-2018,,,,
20,1800,4,91,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
20,1200,6,91,Energy Efficient,Table 12-11,ODP,60,600,NEMA MG - 1-2018,,,,
20,1800,4,91,Energy Efficient,Table 12-11,TEFC,60,600,NEMA MG - 1-2018,,,,
